,Usuario,Texto,Dispositivo,Fecha Creacion,Ubicacion
92,lelayna 🇪🇸,"#INFANCIA #desamparo #miseria #MUJERES #violencia 
Un niño da en adopción a su perro para que su padre no lo maltra… https://t.co/9cFKnV2dpM",Twitter Web Client,2020-02-22 14:31:18,
93,Sherry del Campo,@dicesmx RESULTADOS EXCESIVA VIOLENCIA CERO CRECIMIENTO UN MEROLICO PERVERSO E IMBECIL Y SUS MASCOTAS QUE LE APLAUD… https://t.co/rcCbEBOoru,Twitter for iPhone,2020-02-22 06:07:49,
94,María OM,"RT @nancy_gtl: Un coraje, q una causa de ya BASTA con la violencia contra la mujer la manera cruel d ser asesinadas y q por ello se está co…",Twitter for Android,2020-02-22 02:14:20,
95,Nancy GTL,"Un coraje, q una causa de ya BASTA con la violencia contra la mujer la manera cruel d ser asesinadas y q por ello s… https://t.co/owM0pj1jkk",Twitter for Android,2020-02-22 01:29:35,
96,cris de la Rosa,"@A24COM de Rosas... Violencia es lo q vivimos SIN trabajo, sin saber si comprar comida para la mesa o para las masc… https://t.co/is2U79IJZY",Twitter Web App,2020-02-21 22:36:36,
97,robertina,@pipe200331 @24HorasTVN Ese tipo no puede vivir aquí en chile no se debe aceptar ningún tipo de violencia hacia nuestras mascotas,Twitter for iPhone,2020-02-21 21:26:38,
98,I'LENA,"Piñera condena ataque a estación Los Quillayes del Metro: “Llegó la hora de unir nuestras fuerzas, sin ninguna ambi… https://t.co/v55vNvtM4D",Twitter Web App,2020-02-21 19:48:35,
99,maybe,"Mal por la violencia, pero en serio que con todo el desastre del microcentro, lo que le molesta a este inspector so… https://t.co/uMXto569Ct",Twitter Web App,2020-02-21 14:05:22,"Asunción, Paraguay"
100,Roxi Toxic,"Lo sufrimos más las mujeres...sí.
Sé  que los hombres acosan, y también son acosados. La violencia es en general. ¿… https://t.co/1gNt7UXKcC",Twitter for Android,2020-02-21 07:57:43,
101,#ElCacas,"RT @ElCacas19233194: @LuisaAlcalde Circo, circo, dramas noveleros, ElPigMenio al rescate. Tejan telones y lacrimones para seguir idiotizand…",Twitter for iPhone,2020-02-21 03:07:28,
102,#ElCacas,"@LuisaAlcalde Circo, circo, dramas noveleros, ElPigMenio al rescate. Tejan telones y lacrimones para seguir idiotiz… https://t.co/iYEJOM7Gl1",Twitter for iPhone,2020-02-21 03:07:21,
